,date,pos,neg,neu,compund,brand,Date,ticker,closeprice
0,2021-03-09,0.12197999999999999,0.13750999999999997,0.74053,-0.04309400000000001,Activision,2021-03-09,ATVI,93.44999694824219
1,2021-03-09,0.18844000000000002,0.02469,0.7868599999999994,0.361201,Adidas,2021-03-09,ADS,107.08999633789062
2,2021-03-09,0.09935999999999998,0.06403,0.8366100000000002,0.105439,AIG,2021-03-09,AIG,46.61000061035156
3,2021-03-09,0.16907,0.04872,0.7822099999999997,0.21713900000000003,Amazon,2021-03-09,AMZN,3055.889892578125
4,2021-03-09,0.09959,0.04894000000000001,0.85148,0.16521300000000008,AMC,2021-03-09,AMC,9.670000076293945
5,2021-03-09,0.09929,0.05322,0.84752,0.11153099999999999,Apple,2021-03-09,AAPL,120.61499786376953
6,2021-03-09,0.06530999999999999,0.07519,0.8594900000000001,-0.03904200000000001,AT&T,2021-03-09,T,29.80500030517578
7,2021-03-09,0.0707,0.049080000000000006,0.8802100000000004,0.084072,BlackBerry,2021-03-09,BB,10.079899787902832
8,2021-03-09,0.08667,0.037140000000000006,0.8762299999999997,0.17624899999999996,CVS,2021-03-09,CVS,72.33000183105469
9,2021-03-09,0.13974999999999996,0.05166,0.8085700000000002,0.19061000000000003,Dell,2021-03-09,DELL,86.93000030517578
10,2021-03-09,0.16151000000000004,0.06241000000000001,0.7761099999999997,0.31081999999999993,Disney,2021-03-09,DIS,197.9394073486328
11,2021-03-09,0.14361000000000002,0.055839999999999994,0.8005400000000001,0.165452,EA,2021-03-09,EA,132.06500244140625
12,2021-03-09,0.13439,0.04216,0.8234199999999996,0.27172899999999994,EasyJet,2021-03-09,EZJ,46.79999923706055
13,2021-03-08,0.09215789473684212,0.09868421052631578,0.8091578947368422,-0.0037789473684210397,Exxon,2021-03-08,XOM,60.869998931884766
13,2021-03-09,0.10104938271604941,0.06407407407407406,0.8348024691358025,0.1347666666666667,Exxon,2021-03-09,XOM,59.86000061035156
14,2021-03-09,0.10808999999999999,0.06062999999999999,0.8312799999999997,0.12272400000000001,Ford,2021-03-09,F,12.522199630737305
15,2021-03-09,0.10516,0.05531,0.8395299999999999,0.13440499999999994,Gamestop,2021-03-09,GME,227.3800048828125
16,2021-03-09,0.12831999999999996,0.07552,0.7961800000000001,0.13388499999999998,Hertz,2021-03-09,HTZGQ,0.9599999785423279
17,2021-03-09,0.07400000000000001,0.04833999999999998,0.8776299999999998,0.06263700000000001,Intel,2021-03-09,INTC,62.36000061035156
18,2021-03-09,0.14049999999999999,0.07013000000000001,0.7893199999999999,0.15213399999999996,Lowes,2021-03-09,LOW,167.5399932861328
19,2021-03-09,0.08748999999999997,0.048740000000000006,0.8637099999999996,0.10966399999999998,Microsoft,2021-03-09,MSFT,233.67999267578125
20,2021-03-09,0.13143,0.04508000000000001,0.82353,0.29454100000000005,Netflix,2021-03-09,NFLX,509.3999938964844
21,2021-03-09,0.12133999999999995,0.02383,0.8548399999999998,0.2326479999999999,Nike,2021-03-09,NKE,137.2449951171875
22,2021-03-09,0.12144000000000002,0.06857,0.8099699999999999,0.12423800000000002,Nintendo,2021-03-09,NTDOY,68.30000305175781
23,2021-03-09,0.09324000000000002,0.09018999999999998,0.81655,0.03257999999999999,Pepsi,2021-03-09,PEP,132.6999969482422
24,2021-03-09,0.09169000000000001,0.05679,0.8515200000000002,0.07901800000000002,Pfizer,2021-03-09,PFE,34.505001068115234
25,2021-03-09,0.15991000000000008,0.03413,0.8059299999999997,0.24952200000000005,Samsung,2021-03-09,005930.KS,81400.0
26,2021-03-09,0.12196,0.05809,0.8199099999999998,0.14999399999999996,Sony,2021-03-09,SNE,101.54000091552734
27,2021-03-09,0.12569000000000002,0.04418000000000001,0.83014,0.16996799999999992,Starbucks,2021-03-09,SBUX,106.7699966430664
28,2021-03-09,0.15396000000000007,0.035239999999999994,0.8108000000000005,0.27791599999999983,Tesla,2021-03-09,TSLA,616.1099853515625
29,2021-03-09,0.22579999999999995,0.06604,0.7081599999999999,0.2957610000000001,Ubisoft,2021-03-09,UBSFF,79.0
30,2021-03-09,0.12943999999999997,0.08432000000000002,0.7862500000000001,0.10457999999999998,Walmart,2021-03-09,WMT,129.27999877929688
